,regressor,params,features,r2,mse,max_err
107,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 5, 'max_features': None, 'random_state': 0}",ALL_FEATURES,0.25945832296758153,2103415206919.8154,29687409.20960961
108,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': 'sqrt', 'random_state': 0}",DAY_FEATURES,-0.06617409178829892,3028332999269.2056,49851867.0
109,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': 'sqrt', 'random_state': 0}",NIGHT_FEATURES,0.32685646523180956,1911979286763.6077,29927997.0
110,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': 'sqrt', 'random_state': 0}",ALL_FEATURES,0.5547331851223485,1264724212826.9873,19954512.79632721
111,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': 'log2', 'random_state': 0}",DAY_FEATURES,0.10574068197665054,2540030773146.766,31549997.0
112,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': 'log2', 'random_state': 0}",NIGHT_FEATURES,0.32685646523180956,1911979286763.6077,29927997.0
113,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': 'log2', 'random_state': 0}",ALL_FEATURES,0.5547331851223485,1264724212826.9873,19954512.79632721
114,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': None, 'random_state': 0}",DAY_FEATURES,0.4594832543910151,1535269624344.1504,20023998.0
115,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': None, 'random_state': 0}",NIGHT_FEATURES,0.2377265624350131,2165141531035.0527,29927997.0
116,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 10, 'max_features': None, 'random_state': 0}",ALL_FEATURES,0.4594957114748752,1535234241569.0308,20023998.0
117,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': 'sqrt', 'random_state': 0}",DAY_FEATURES,0.6569710142772605,974330557430.4691,20036776.57142857
118,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': 'sqrt', 'random_state': 0}",NIGHT_FEATURES,0.6959706048562216,863557140576.7911,20061798.0
119,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': 'sqrt', 'random_state': 0}",ALL_FEATURES,0.5357438629463132,1318660986776.3408,20045548.0
120,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': 'log2', 'random_state': 0}",DAY_FEATURES,0.05630704914676543,2680440770656.0884,49859995.0
121,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': 'log2', 'random_state': 0}",NIGHT_FEATURES,0.6959706048562216,863557140576.7911,20061798.0
122,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': 'log2', 'random_state': 0}",ALL_FEATURES,0.5357438629463132,1318660986776.3408,20045548.0
123,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': None, 'random_state': 0}",DAY_FEATURES,0.40978157964484463,1676440961100.53,20059198.0
124,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': None, 'random_state': 0}",NIGHT_FEATURES,0.3838308944071235,1750150608581.4814,29927997.0
125,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'best', 'max_depth': 20, 'max_features': None, 'random_state': 0}",ALL_FEATURES,0.1852908015358289,2314078694576.933,20029298.0
126,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': 'sqrt', 'random_state': 0}",DAY_FEATURES,0.0009592335141147545,2837649258283.74,31284184.024012394
127,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': 'sqrt', 'random_state': 0}",NIGHT_FEATURES,0.0006441040326307101,2838544343819.1807,31314531.57794971
128,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': 'sqrt', 'random_state': 0}",ALL_FEATURES,0.0012978019741725078,2836687597286.7217,31310747.020164046
129,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': 'log2', 'random_state': 0}",DAY_FEATURES,0.0009592335141147545,2837649258283.74,31284184.024012394
130,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': 'log2', 'random_state': 0}",NIGHT_FEATURES,0.0006441040326307101,2838544343819.1807,31314531.57794971
131,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': 'log2', 'random_state': 0}",ALL_FEATURES,0.0012978019741725078,2836687597286.7217,31310747.020164046
132,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': None, 'random_state': 0}",DAY_FEATURES,-0.002783813954579051,2848280912395.935,31335501.41067217
133,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': None, 'random_state': 0}",NIGHT_FEATURES,0.0006441040326307101,2838544343819.1807,31314531.57794971
