,0,1
2044,"pindi bhattian, hafizabad, punjab, pakistan","['Pindi Bhattian, Jhang, Punjab, Pakistan', 0.0, 31.8966366, 73.28243309999999]"
2045,"samanabad town, lahore, punjab, pakistan","['Samanabad Town, Lahore, Punjab 54000, Pakistan', 0.0, 31.5377123, 74.2971543]"
2046,"malakwal, mandi bahauddin, punjab, pakistan","['Malakwāl, Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.5507057, 73.208709]"
2047,"mandi bahauddin, mandi bahauddin, punjab, pakistan","['Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.5741646, 73.4828374]"
2048,"mankera, bhakkar, punjab, pakistan","['Mankera, Bhakkar, Punjab, Pakistan', 0.0, 31.3890924, 71.4388417]"
2049,"summundri, faisalabad, punjab, pakistan","['Samundri, Faisalabad, Punjab, Pakistan', 0.0, 31.0646216, 72.9519622]"
2050,"rajanpur (tribal area), rajanpur, punjab, pakistan","['Rajanpur District, Rajanpur, Punjab, Pakistan', 0.0, 29.1044299, 70.3301173]"
2051,"mian channu, khanewal, punjab, pakistan","['Mian Channu, Khanewal, Punjab, Pakistan', 0.0, 30.4390184, 72.3552112]"
2052,"ravi town, lahore, punjab, pakistan","['Lahore, Punjab, Pakistan', 0.0, 31.5203696, 74.35874729999999]"
2053,"mianwali, mianwali, punjab, pakistan","['Mianwali, Punjab, Pakistan', 0.0, 32.5839229, 71.53702969999999]"
2054,"sargodha, sargodha, punjab, pakistan","['Sargodha, Punjab, Pakistan', 0.0, 32.0739787, 72.6860696]"
2055,"minchinabad, bahawalnagar, punjab, pakistan","['Minchinabad, Bahawalnagar, Punjab, Pakistan', 0.0, 30.1622431, 73.5653021]"
2056,"okara, okara, punjab, pakistan","['Okara, Punjab, Pakistan', 0.0, 30.8138017, 73.45337789999999]"
2057,"shahpur, sargodha, punjab, pakistan","['Shahpur, Sargodha, Punjab, Pakistan', 0.0, 32.2877732, 72.4287734]"
2058,"shalimar town, lahore, punjab, pakistan","['Shalimar Town Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.0580698, 70.6520561]"
2059,"muridke, sheikhupura, punjab, pakistan","['Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.8094838, 74.25341499999999]"
2060,"pattoki, kasur, punjab, pakistan","['Pattoki, Kasur, Punjab, Pakistan', 0.0, 31.0249373, 73.8479128]"
2061,"wazirabad, gujranwala, punjab, pakistan","['Wazirabad, Gujranwala, Punjab, Pakistan', 0.0, 32.4404179, 74.120255]"
2062,"safdarabad, sheikhupura, punjab, pakistan","['Safdarabad, Sheikhupura, Punjab, Pakistan', 0.0, 31.7255734, 73.5770801]"
2063,"narowal, narowal, punjab, pakistan","['Narowal, Punjab, Pakistan', 0.0, 32.1014067, 74.8799518]"
2064,"sheikhupura, sheikhupura, punjab, pakistan","['Sheikhupura, Punjab, Pakistan', 0.0, 31.7166617, 73.98502429999999]"
2065,"shorkot, jhang, punjab, pakistan","['Shorkot, Jhang, Punjab, Pakistan', 0.0, 30.8335198, 72.0882938]"
2066,"sahiwal, sargodha, punjab, pakistan","['Sahiwal, Sargodha, Punjab, Pakistan', 0.0, 31.9764596, 72.32815310000001]"
2067,"piplan, mianwali, punjab, pakistan","['Piplan, Mianwali, Punjab, Pakistan', 0.0, 32.2814011, 71.3646236]"
2068,"noorpur, khushab, punjab, pakistan","['Noorpur Thal, Khushab, Punjab, Pakistan', 0.0, 31.878471, 71.89863629999999]"
2069,"sialkot, sialkot, punjab, pakistan","['Sialkot, Punjab, Pakistan', 0.0, 32.4944991, 74.5228916]"
2070,"tandlian wala, faisalabad, punjab, pakistan","['Tandlian Wala, Faisalabad, Punjab, Pakistan', 0.0, 31.0328533, 73.12905959999999]"
2071,"qaidabad, khushab, punjab, pakistan","['Quaidabad, Gunjial, Khushab, Punjab, Pakistan', 0.0, 32.3392784, 71.8778854]"
2072,"nashter town, lahore, punjab, pakistan","['Nishter Town, Lahore, Punjab, Pakistan', 0.0, 31.4763063, 74.35141589999999]"
2073,"tala gang, chakwal, punjab, pakistan","['Talagang, Chakwal, Punjab, Pakistan', 0.0, 32.917193, 72.40806049999999]"
2074,"shujabad, multan, punjab, pakistan","['Shujaabād, Multan, Punjab, Pakistan', 0.0, 29.8717091, 71.3230549]"
2075,"narowal, punjab, pakistan","['Narowal, Punjab, Pakistan', 0.0, 32.1014067, 74.8799518]"
2076,"pakpattan, pakpattan, punjab, pakistan","['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]"
2077,"toba tek singh, toba tek singh, punjab, pakistan","['Toba Tek Singh, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.9709356, 72.48264739999999]"
2078,"pasrur, sialkot, punjab, pakistan","['Pasrūr, Sialkot, Punjab, Pakistan', 0.0, 32.2625241, 74.6576091]"
2079,"sarai alamgir, gujrat, punjab, pakistan","['Sarai Alamgir, Gujrat, Punjab, Pakistan', 0.0, 32.9084868, 73.7654367]"
2080,"yazman, bahawalpur, punjab, pakistan","['Yazman Mandi, Bahawalpur, Punjab, Pakistan', 0.0, 29.12067219999999, 71.74445399999999]"
2081,"pind dadan khan, jhelum, punjab, pakistan","['Pind Dadan Khan, Jhelum, Punjab, Pakistan', 0.0, 32.5883708, 73.0434794]"
2082,"rajanpur, rajanpur, punjab, pakistan","['Rajanpur District, Rajanpur, Punjab, Pakistan', 0.0, 29.1044299, 70.3301173]"
2083,"rahim yar khan, rahim yar khan, punjab, pakistan","['Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.4211565, 70.2988744]"
2084,"rawalpindi, rawalpindi, punjab, pakistan","['Rawalpindi, Punjab, Pakistan', 0.0, 33.5651107, 73.0169135]"
2085,"sillanwali, sargodha, punjab, pakistan","['Sillanwali, Sargodha, Punjab, Pakistan', 0.0, 31.8161565, 72.53822930000001]"
2086,"shah kot, nankana sahib, punjab, pakistan","['Shahkot, Nankana Sahib, Punjab, Pakistan', 0.0, 31.57574769999999, 73.4814918]"
2087,"taunsa, dera ghazi khan, punjab, pakistan","['Taunsa, Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.70460379999999, 70.6573694]"
2088,"sambrial, sialkot, punjab, pakistan","['Sambrial, Sialkot, Punjab, Pakistan', 0.0, 32.4783085, 74.3521114]"
2089,"sohawa, jhelum, punjab, pakistan","['Sohawa, Jhelum, Punjab, Pakistan', 0.0, 33.1128659, 73.4121277]"
2090,"sahiwal, sahiwal, punjab, pakistan","['Sahiwal, Sahiwal District, Punjab, Pakistan', 0.0, 30.6681998, 73.111356]"
2091,"taxila, rawalpindi, punjab, pakistan","['Taxila, Rawalpindi, Punjab, Pakistan', 0.0, 33.7462826, 72.8397317]"
2092,"wahga town, lahore, punjab, pakistan","['Wagah, Hardo Rattan, Punjab 143108, India', 0.0, 31.604757, 74.574136]"
2093,"shakargarh, narowal, punjab, pakistan","['Shakar Garh, Narowal, Punjab, Pakistan', 0.0, 32.25723900000001, 75.16037519999999]"
2094,"nwaban wala, faisalabad city, faisalabad, punjab, pakistan","['Nawaban Wala Faisalabad, Punjab, Pakistan', 0.0, 31.3833328, 73.0597125]"
2095,"ochali, khushab, khushab, punjab, pakistan","['Uchhali, Khushab, Punjab, Pakistan', 0.0, 32.5383184, 72.0164454]"
2096,"officer colony, multan city, multan, punjab, pakistan","['Officers Colony, Multan, Punjab, Pakistan', 0.0, 30.2107813, 71.475203]"
2097,"okara cantt, okara, okara, punjab, pakistan","['Okara Cantonment, Punjab, Pakistan', 0.0, 30.7392652, 73.3531852]"
2098,"okhali mohla, khushab, khushab, punjab, pakistan","['Okhli Mohla, Khushab, Punjab, Pakistan', 0.0, 32.260957, 71.97866259999999]"
2099,"outchi, mailsi, vehari, punjab, pakistan",[]
2100,"paand wikki, lahore cantt, lahore, punjab, pakistan","['Lahore Cantt., Lahore, Punjab, Pakistan', 0.0, 31.4787269, 74.41602929999999]"
2101,"paand wikki, nashter town, lahore, punjab, pakistan","['Nishter Town, Lahore, Punjab, Pakistan', 0.0, 31.4763063, 74.35141589999999]"
2102,"padhana chak no. 45, pattoki, kasur, punjab, pakistan","['Padhana Chak No 45, Kasur, Punjab, Pakistan', 0.0, 31.1085739, 73.7852922]"
2103,"paka kamar mushani, isakhel, mianwali, punjab, pakistan","['Kamar Mashani, Mianwali, Punjab, Pakistan', 0.0, 32.846935, 71.35274729999999]"
2104,"pakasadhar, pakpattan, pakpattan, punjab, pakistan","['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]"
2105,"pakhra sultan, jhang, jhang, punjab, pakistan","['Jhang, Punjab, Pakistan', 0.0, 31.4202037, 72.5637156]"
2106,"paki thathi, lahore city, lahore, punjab, pakistan","[', Punjab, Pakistan', 0.0, 31.53295, 74.28976999999999]"
2107,"pakistan colony, khanpur, rahim yar khan, punjab, pakistan","['Pakistan Colony Rd, Khanpur, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.6386886, 70.6651837]"
2108,"pakkay wala, jhang, jhang, punjab, pakistan","['Pakkay Wala, Jhang, Punjab, Pakistan', 0.0, 31.3719647, 72.317793]"
2109,"pakpattan city 2, pakpattan, pakpattan, punjab, pakistan","['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]"
2110,"pakpattan city 3, pakpattan, pakpattan, punjab, pakistan","['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]"
2111,"pakpattan city 4, pakpattan, pakpattan, punjab, pakistan","['Canal Colony Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3605879, 73.38219529999999]"
2112,"pakpattan city 5, pakpattan, pakpattan, punjab, pakistan","['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]"
2113,"pandat manphool pur, depalpur, okara, punjab, pakistan","['Depalpur, Okara, Punjab, Pakistan', 0.0, 30.6769981, 73.6477342]"
2114,"panjad colony, multan city, multan, punjab, pakistan","['Bhutta Colony Multan, Punjab, Pakistan', 0.0, 30.1753108, 71.4514573]"
2115,"panjai, shujabad, multan, punjab, pakistan","['Shujaabād, Multan, Punjab, Pakistan', 0.0, 29.8717091, 71.3230549]"
2116,"panjar, kahuta, rawalpindi, punjab, pakistan","['Panjar, Rawalpindi, Punjab, Pakistan', 0.0, 33.6438919, 73.51671069999999]"
2117,"panjgran kalan, gujar khan, rawalpindi, punjab, pakistan","['Thatha Kalan, Rawalpindi, Punjab, Pakistan', 0.0, 33.1312149, 73.0597125]"
2118,"parag, sialkot, sialkot, punjab, pakistan","['Main Bazar,Chowk Manna Singh,Chati Wind Gate, Chowk Parag Das, Katra Ahluwalia, Amritsar, Punjab 143001, India', 0.0, 31.6172069, 74.88038]"
2119,"parel, pasrur, sialkot, punjab, pakistan","['Pasrūr, Sialkot, Punjab, Pakistan', 0.0, 32.2625241, 74.6576091]"
