UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
mughal pura, lahore city, lahore,,"['Mughalpura, Lahore, Punjab, Pakistan', 0.0, 31.56896489999999, 74.35861489999999]",daras baray mian,lahore,lahore
muhahid abad, lahore city, lahore,,"['Abbas Abad Rd, Block E Nawab Town, Lahore, Punjab, Pakistan', 0.0, 31.4498086, 74.2532712]",ali raza abad,lahore,lahore
muhahid abad, shalimar town, lahore,,"['Shalimar Town Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.0580698, 70.6520561]",paigan,dera ghazi khan,dera ghazi khan
muhallah hakema wala, multan city, multan,,"['Wasil Wala Rd, Multan, Punjab, Pakistan', 0.0, 30.2103148, 71.43472030000001]",almdi sura,multan city,multan
muhallah qadeer abad, multan city, multan,,[],Not Found,Not Found,Not Found
muhallah shah gardaiz, multan city, multan,,"['Inside Bohar gate Muhallah Shah Gardaiz Ward No 4, Inner City, Multan, Punjab, Pakistan', 0.0, 30.1943503, 71.46806269999999]",taraf mubarik doim,multan city,multan
muhammad abad, faisalabad city, faisalabad,,"['Muhammad Abad Muhammadabad, Faisalabad, Punjab, Pakistan', 0.0, 31.3971329, 73.108148]",faisalabad c,faisalabad city,faisalabad
muhammad ali arain, sadiqabad, rahim yar khan,,"['Sadiqabad, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3110941, 70.1261227]",sadiqabad,sadiqabad,rahim yar khan
muhammad khan, khanpur, rahim yar khan,,[],Not Found,Not Found,Not Found
muhammad nagar, depalpur, okara,,"['Muhammad Nagar, Okara, Punjab, Pakistan', 0.0, 30.5770383, 73.9727181]",kharian wali,depalpur,okara
muhammad pura, faisalabad city, faisalabad,,"['Faisalabad, Punjab, Pakistan', 0.0, 31.4439967, 73.0244913]",chak no. 117,faisalabad saddar,faisalabad
muhammad pura 6, sialkot, sialkot,,"['Muhammadpura, Sialkot, Punjab, Pakistan', 0.0, 32.5025146, 74.5459059]",doburji aray,sialkot,sialkot
muhammad shah, kamalia, toba tek singh,,"['Kamalia, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.7221821, 72.64468289999999]",kamalia town,kamalia,toba tek singh
muhammad shah, mailsi, vehari,,"['Muhammad Shah, Vehari, Punjab, Pakistan', 0.0, 29.9151416, 72.26746709999999]",sharifabad,vehari,vehari
muidh paragana miani, bhalwal, sargodha,,"['Miani Bhalwal, Sargodha, Punjab, Pakistan', 0.0, 32.5265638, 73.0729934]",chak saida,bhalwal,sargodha
mujahid abad, faisalabad city, faisalabad,,"['Jaranwala Rd, Usmanabad, Mujahid Town, Faisalabad, Punjab 38000, Pakistan', 0.0, 31.4031896, 73.14034339999999]",faisalabad c,faisalabad city,faisalabad
mullan mansoor, hazro, attock,,"['Mullan Mansoor, Attock, Punjab, Pakistan', 0.0, 33.894389, 72.2852303]",haji shah,attock,attock
mumtaz abad colony, multan city, multan,,"['Mumtazabad, Multan, Punjab, Pakistan', 0.0, 30.174439, 71.4789131]",unknown_1,multan city,multan
muncipal committee samandri, summundri, faisalabad,,"['Samundri, Faisalabad, Punjab, Pakistan', 0.0, 31.0646216, 72.9519622]",chak no. 467,samundri,faisalabad
muncipal committee yazman, yazman, bahawalpur,,"['Hafiz Colony, Yazman Mandi, Bahawalpur, Punjab, Pakistan', 0.0, 29.12162, 71.750586]",chak no 068/d b,yazman,bahawalpur
munjawala, faisalabad sadar, faisalabad,,"['Manawala, Faisalabad, Punjab, Pakistan', 0.0, 31.4606697, 73.1393861]",chak no. 199,faisalabad saddar,faisalabad
murad pur, mailsi, vehari,,"['Muradpur, Vehari, Punjab, Pakistan', 0.0, 29.7203792, 72.04385359999999]",jallah jeem,mailsi,vehari
muradke kathia, chichawatni, sahiwal,,"['Muradke Kathia, Sahiwal District, Punjab, Pakistan', 0.0, 30.6750835, 72.7791648]",None,chichawatni,sahiwal
murali  wali, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
murali  wali, khiali shah pur town, gujranwala,,"['Khiali Shahpura Gujranwala, Punjab, Pakistan', 0.0, 32.1198772, 74.172438]",talwandi rah,gujranwala saddar,gujranwala
muredky 1, muridke, sheikhupura,,"['1 Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.8160905, 74.2529627]",bhlanwala ka,ferozewala,sheikhupura
muredky 2, muridke, sheikhupura,,"['Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.8094838, 74.25341499999999]",bhlanwala ka,ferozewala,sheikhupura
muredky 3, muridke, sheikhupura,,"['3 km. Muridke Sheikhupura road., Muridke, Sheikhupura, Punjab 44000, Pakistan', 0.0, 31.80953, 74.21882599999999]",bhlanwala ka,ferozewala,sheikhupura
muredky 4, muridke, sheikhupura,,"['Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.8094838, 74.25341499999999]",bhlanwala ka,ferozewala,sheikhupura
muredky 5, muridke, sheikhupura,,"['Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.8094838, 74.25341499999999]",bhlanwala ka,ferozewala,sheikhupura
muredky 6, muridke, sheikhupura,,"['Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.8094838, 74.25341499999999]",bhlanwala ka,ferozewala,sheikhupura
musa bhota, bahawalnagar, bahawalnagar,,"['Bhota, Gujrat, Punjab, Pakistan', 0.0, 32.7648427, 74.01973]",thikarian,kharian,gujrat
musa pur, pasrur, sialkot,,"['Musapur, Gujranwala, Punjab, Pakistan', 0.0, 32.0724101, 74.2289376]",sansra goria,gujranwala saddar,gujranwala
musa pur, pasrur, narowal,,"['Musapur, Gujranwala, Punjab, Pakistan', 0.0, 32.0724101, 74.2289376]",sansra goria,gujranwala saddar,gujranwala
musim abad, lahore city, lahore,,"['Ghazi Pul Muslimabad Lahore, Punjab, Pakistan', 0.0, 31.5657081, 74.4081649]",taj bagh,lahore,lahore
musiwal, pakpattan, pakpattan,,"['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]",37/sp,pakpattan,pakpattan
muslim colony, bahawalnagar, bahawalnagar,,"['Muslim Colony Bahawalnagar District, Bahawalnagar, Punjab, Pakistan', 0.0, 30.0007629, 73.2628986]",kabootri,minchinabad,bahawalnagar
muslim colony, haroonabad, bahawalnagar,,"['Muslim Colony Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.62228159999999, 73.1462087]",chak no. 15/,haroonabad,bahawalnagar
muslim town junubi, rawalpindi, rawalpindi,,"['Muslim Town, Rawalpindi, Punjab, Pakistan', 0.0, 33.6286615, 73.0921755]",dhok ali akbar,rawalpindi tehsil,rawalpindi
muslim town shumali, rawalpindi, rawalpindi,,"['Muslim Town, Rawalpindi, Punjab, Pakistan', 0.0, 33.6286615, 73.0921755]",dhok ali akbar,rawalpindi tehsil,rawalpindi
muzaffar ghar city 1, muzaffargarh, muzaffargarh,,"['Chah Mitho Wala, Railway Rd, Sadaat Colony 1, Muzaffargarh, Punjab 34200, Pakistan', 0.0, 30.0794, 71.19127999999999]",latkaran,muzaffargarh,muzaffargarh
muzaffar pur 1, sialkot, sialkot,,"['Muzaffarpur, Sialkot, Punjab, Pakistan', 0.0, 32.4901715, 74.50002909999999]",hundal,sialkot,sialkot
muzaffarpur shumali, mianwali, mianwali,,"['Mianwali, Punjab, Pakistan', 0.0, 32.4845401, 71.61320669999999]",gul miri,mianwali,mianwali
muzang, lahore city, lahore,,"['Mazang, Lahore, Punjab 54000, Pakistan', 0.0, 31.5566103, 74.31475449999999]",mozang,lahore,lahore
nabi pura, aziz bhatti town, lahore,,"['Nabi Pura Lahore, Punjab, Pakistan', 0.0, 31.5680741, 74.39539979999999]",taj bagh,lahore,lahore
nabi pura, lahore city, lahore,,"['Nabi Pura Gulberg III, Lahore, Punjab, Pakistan', 0.0, 31.5173714, 74.3556315]",gulberg,lahore,lahore
nabi pura, sharak pur, sheikhupura,,"['Nabipura, Sheikhupura, Punjab, Pakistan', 0.0, 31.7187582, 73.95324889999999]",sheikhupura,sheikhupura,sheikhupura
nabi pura, sheikhupura, sheikhupura,,"['Nabipura, Sheikhupura, Punjab, Pakistan', 0.0, 31.7187582, 73.95324889999999]",sheikhupura,sheikhupura,sheikhupura
nadala sindhwan, gujranwala, gujranwala,,"['Nadala, Gujranwala, Punjab, Pakistan', 0.0, 32.1558845, 74.3690108]",feroz wala,gujranwala saddar,gujranwala
nadala sindhwan, nandi pur town, gujranwala,,"['Nandipur, Gujranwala, Punjab, Pakistan', 0.0, 32.2563141, 74.2637827]",bhatti bango,gujranwala saddar,gujranwala
nagal doona singh, kamoke, gujranwala,,"['Kāmoke, Gujranwala, Punjab, Pakistan', 0.0, 31.9765147, 74.2220167]",nand pur,gujranwala saddar,gujranwala
naggan, faisalabad sadar, faisalabad,,"['Faisalabad Saddar, Faisalabad, Punjab, Pakistan', 0.0, 31.4249914, 73.111356]",faisalabad c,faisalabad city,faisalabad
nagwal, zafarwal, narowal,,"['Zafarwal, Narowal, Punjab, Pakistan', 0.0, 32.3370042, 74.903339]",bobak marali,narowal,narowal
nagwal, shakargarh, narowal,,"['Nagwal, Narowal, Punjab, Pakistan', 0.0, 32.4173111, 75.0691454]",dara pur,shakargarh,narowal
nahrianwala, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad
nain ranjha, mandi bahauddin, mandi bahauddin,,"['Nain Ranjha, Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.3637641, 73.3811849]",bhekho,phalia,mandi bahauddin
nala muslimanan, kallar sayaddan, rawalpindi,,"['Tehsil Kallar Syedan, Rawalpindi, Punjab, Pakistan', 0.0, 33.4126922, 73.48872879999999]",None,kahuta tehsil,rawalpindi
nambal, murree, rawalpindi,,"['Imtiaz Shaheed Rd, Murree Cantt, Murree, Rawalpindi, Khyber Pakhtunkhwa 47150, Pakistan', 0.0, 33.9076506, 73.39307800000002]",None,murree tehsil,rawalpindi
nangal bhachar, muridke, sheikhupura,,"['Bhachar, Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.4769794, 73.3789745]",kadhar,mandi bahauddin,mandi bahauddin
nangal saddan, muridke, sheikhupura,,"['Nangal Saday, Sheikhupura, Punjab, Pakistan', 0.0, 31.8386918, 74.26630070000002]",bharath,ferozewala,sheikhupura
nankana city 1, nankana sahib, nankana sahib,,"['Buchey Ki Nankana Sahib Road, Nankana Sahib, Punjab, Pakistan', 0.0, 31.4453287, 73.6958901]",walgon machr,nankana sahib,sheikhupura
nankana city 2, nankana sahib, nankana sahib,,"['Buchey Ki Nankana Sahib Road, Nankana Sahib, Punjab, Pakistan', 0.0, 31.4453287, 73.6958901]",walgon machr,nankana sahib,sheikhupura
nankana city 3, nankana sahib, nankana sahib,,"['Buchey Ki Nankana Sahib Road, Nankana Sahib, Punjab, Pakistan', 0.0, 31.4453287, 73.6958901]",walgon machr,nankana sahib,sheikhupura
narali, gujar khan, rawalpindi,,"['Narali, Rawalpindi, Punjab, Pakistan', 0.0, 33.1194196, 73.1615127]",None,gujar khan tehsil,rawalpindi
narang 1, muridke, sheikhupura,,"['Narang Mandi, Sheikhupura, Punjab, Pakistan', 0.0, 31.901405, 74.51703189999999]",ahdian,ferozewala,sheikhupura
narang 2, muridke, sheikhupura,,"['Narang Mandi, Sheikhupura, Punjab, Pakistan', 0.0, 31.901405, 74.51703189999999]",ahdian,ferozewala,sheikhupura
narar, kahuta, rawalpindi,,"['Narar, Rawalpindi, Punjab, Pakistan', 0.0, 33.6928879, 73.5270189]",None,kahuta tehsil,rawalpindi
narowal 1, narowal, narowal,,"['Narowal Junction Railway Station, Narowal, Punjab, Pakistan', 0.0, 32.1003832, 74.8644194]",bhenian,narowal,narowal
narowal 2, narowal, narowal,,"['NA-117', 0.0, 32.0114124, 74.7337069]",bhenian,narowal,narowal
narowal 3, narowal, narowal,,"['Narowal, Punjab 54000, Pakistan', 0.0, 32.1172636, 74.8649676]",bhenian,narowal,narowal
narrowal 4, narowal, narowal,,"['Narowal Junction Railway Station, Narowal, Punjab, Pakistan', 0.0, 32.1003832, 74.8644194]",bhenian,narowal,narowal
nasir colony, faisalabad city, faisalabad,,"['Samundri Rd, Allama Iqbal Colony, Faisalabad, Punjab 38000, Pakistan', 0.0, 31.3863656, 73.0742808]",faisalabad c,faisalabad city,faisalabad
nasir ud din wahin, kahror pacca, lodhran,,"['Kahror Pakka, Lodhran, Punjab, Pakistan', 0.0, 29.6437628, 71.9164217]",faridabad,kehror pacca,lodhran
natha, nankana sahib, nankana sahib,,"['Natha, Nankana Sahib, Punjab, Pakistan', 0.0, 31.3338715, 73.7992634]",jawaharpur,nankana sahib,sheikhupura
naunar, narowal, narowal,,"['Nonar, Narowal, Punjab, Pakistan', 0.0, 32.2222284, 74.84778899999999]",dharg miana,narowal,narowal
naurang abad, shaker garh, narowal,,"['Bojpur, Narowal, Punjab, Pakistan', 0.0, 32.346582, 75.25301050000002]",bara manga,shakargarh,narowal
naurang abad, shakargarh, narowal,,"['Bojpur, Narowal, Punjab, Pakistan', 0.0, 32.346582, 75.25301050000002]",bara manga,shakargarh,narowal
nawan shehr, kabirwala, khanewal,,"['Nawan Shehr, Khanewal, Punjab, Pakistan', 0.0, 30.4313455, 71.7058969]",haiderabad,kabirwala,khanewal
nazar lubana, sharak pur, sheikhupura,,"['Sheikhupura, Punjab, Pakistan', 0.0, 31.7166617, 73.98502429999999]",sheikhupura,sheikhupura,sheikhupura
nazimabad, faisalabad city, faisalabad,,"['Nazim Abad, Faisalabad, Punjab, Pakistan', 0.0, 31.4087034, 73.06782869999999]",faisalabad c,faisalabad city,faisalabad
neeka pura 11, sialkot, sialkot,,"['Neka Pura, Sialkot, Punjab, Pakistan', 0.0, 32.4851972, 74.54779289999999]",garhi,sialkot,sialkot
nemat colony 1-2, faisalabad city, faisalabad,,"['Nemat Colony 2 Faisalabad, Punjab, Pakistan', 0.0, 31.4100424, 73.1264779]",faisalabad c,faisalabad city,faisalabad
new civil line, faisalabad city, faisalabad,,"['New Civil Lines, Faisalabad, Punjab, Pakistan', 0.0, 31.4340851, 73.0878127]",faisalabad c,faisalabad city,faisalabad
new civil line 2, gujranwala, gujranwala,,"['Chatha Colony Civil Lines, Gujranwala, Punjab 52250, Pakistan', 0.0, 32.1718588, 74.19520039999999]",gujranwala c,gujranwala city,gujranwala
new kataryan, rawalpindi, rawalpindi,,"['New Katarian Satellite Town, Rawalpindi, Punjab, Pakistan', 0.0, 33.6458345, 73.0597125]",dhoke mangtal,rawalpindi tehsil,rawalpindi
new multan, multan city, multan,,"['New Multan Colony, Multan, Punjab, Pakistan', 0.0, 30.2034983, 71.51601219999999]",taraf mubarik doim,multan city,multan
new nazim abad colony, multan city, multan,,[],Not Found,Not Found,Not Found
new saman abad, lahore city, lahore,,"['New Samanabad Lahore, Punjab 54000, Pakistan', 0.0, 31.5350998, 74.3061465]",shah kamal,lahore,lahore
new samanabad uc, lahore city, lahore,,"['Ghazali Rd, Samanabad, Samanabad Town, Lahore, Punjab 54570, Pakistan', 0.0, 31.5346277, 74.30440260000002]",shah kamal,lahore,lahore
new samanabad uc, samanabad town, lahore,,"['Ghazali Rd, Samanabad, Samanabad Town, Lahore, Punjab 54570, Pakistan', 0.0, 31.5346277, 74.30440260000002]",shah kamal,lahore,lahore
niaz beg uc, allam iqbal town, lahore,,"['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]",sikandar block,lahore,lahore
niaz beg uc, allama iqbal town, lahore,,"['Niaz Beg, Lahore, Punjab, Pakistan', 0.0, 31.4870312, 74.2370076]",niaz beg,lahore,lahore
nighan pura, faisalabad city, faisalabad,,"['Faisalabad, Punjab, Pakistan', 0.0, 31.45036619999999, 73.13496049999999]",chak no. 202,faisalabad saddar,faisalabad
niyaz abad, multan city, multan,,[],Not Found,Not Found,Not Found
nizam abad, multan city, multan,,"['Haji Fazil Bhatti Rd,، Shah Rukn E Alam Town, Multan, Punjab, Pakistan', 0.0, 30.2181592, 71.54857559999999]",domehrah,multan saddar,multan
noor pur thal, noorpur, khushab,,"['Noorpur Thal, Khushab, Punjab, Pakistan', 0.0, 31.878471, 71.89863629999999]",noor pur,noorpur,khushab
noor shah gilani, kahror pacca, lodhran,,"['Kahror Pakka - Dunyapur Rd, Lodhran Tehsil, Lodhran, Punjab, Pakistan', 0.0, 29.7112304, 71.83190309999999]",ali pur kanj,kehror pacca,lodhran
noorpur manjhu wala, jampur, rajanpur,,"['Jampur, Rajanpur, Punjab, Pakistan', 0.0, 29.6459464, 70.59193570000001]",kotla dewan,jampur,rajanpur
nor pura 5, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
norun shaheed, mailsi, vehari,,[],Not Found,Not Found,Not Found
noshera darkan 2, nowshera virkan, gujranwala,,"['Nowshera, Khyber Pakhtunkhwa, Pakistan', 0.0, 34.0104643, 71.9875531]",Not Found,Not Found,Not Found
noshera gharbi, jampur, rajanpur,,"['Noshehra Gharbi, Rajanpur, Punjab, Pakistan', 0.0, 29.5306351, 70.3375571]",wah lushari,jampur,rajanpur
noshera sansi 36, gujranwala, gujranwala,,"['Nowshera Sansi, Gujranwala, Punjab, Pakistan', 0.0, 32.126232, 74.16803469999999]",gujranwala c,gujranwala city,gujranwala
notak mehmeed, dera ghazi khan, dera ghazi khan,,"['Indus Hwy, Dera Ghāzi Khān, Dera Ghazi Khan, Punjab, Pakistan', 0.0, 29.8238225, 70.630101]",mana ahmadani,dera ghazi khan,dera ghazi khan
nowshera virkan 2, nowshera virkan, gujranwala,,"['Nowshera Virkan, Gujranwala, Punjab, Pakistan', 0.0, 31.96295739999999, 73.97418739999999]",kartar pur m,naushera virkan,gujranwala
null,18-hazari, jhang,,"['Athara Hazari, Jhang, Punjab, Pakistan', 0.0, 31.1647774, 72.09718099999999]",rashidpur,jhang,jhang
null,ahmadpur east, bahawalpur,,"['Ahmedpur East, Bahawalpur, Punjab, Pakistan', 0.0, 29.1459, 71.2517835]",mehrabwala,ahmadpur east,bahawalpur
null,gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
null,ahmadpur sial, jhang,,"['Ahmedpur Siāl, Jhang, Punjab, Pakistan', 0.0, 30.68359419999999, 71.7592825]",ranjeet kot,ahmedpur sial,jhang
null,alipur, muzaffargarh,,"['Alīpur, Muzaffargarh, Punjab, Pakistan', 0.0, 29.3816903, 70.9130684]",baz wala,alipur,muzaffargarh
null,allam iqbal town, lahore,,"['Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.512412, 74.2844714]",sikandar block,lahore,lahore
null,arif wala, pakpattan,,"['Ārifwāla, Pakpattan, Punjab, Pakistan', 0.0, 30.2866673, 73.0582368]",147/eb,arifwala,pakpattan
null,attock, attock,,"['Attock, Punjab, Pakistan', 0.0, 33.7659684, 72.3608754]",akhori,attock,attock
null,aziz bhatti town, lahore,,"['Aziz Bhatti Town, Lahore, Punjab, Pakistan', 0.0, 31.5538618, 74.4259228]",guldasht colony,lahore,lahore
null,bahawalnagar, bahawalnagar,,"['Bahawalnagar District, Bahawalnagar, Punjab, Pakistan', 0.0, 30.0024888, 73.2411506]",kabootri,minchinabad,bahawalnagar
null,hazro, attock,,"['Hazro, Attock, Punjab, Pakistan', 0.0, 33.9053236, 72.4790696]",malik mala,attock,attock
null,bahawalpur, bahawalpur,,"['Bahawalpur, Punjab, Pakistan', 0.0, 29.35435, 71.69106599999999]",chak no 012/bc,bahawalpur,bahawalpur
null,bhakkar, bhakkar,,"['Bhakkar, Punjab, Pakistan', 0.0, 31.6082059, 71.0854325]",gadola,bhakkar,bhakkar
null,bhalwal, sargodha,,"['Bhalwal, Sargodha, Punjab, Pakistan', 0.0, 32.275141, 72.9047136]",8 nb,bhalwal,sargodha
null,bhawana, chiniot,,"['Bhawana, Chiniot, Punjab, Pakistan', 0.0, 31.5659069, 72.64468289999999]",kalri,lalian,chiniot
null,burewala, vehari,,"['Burewala, Vehari, Punjab, Pakistan', 0.0, 30.15928389999999, 72.694262]",257/eb,burewala,vehari
null,chak jhumra, faisalabad,,"['Chak Jhumra, Faisalabad, Punjab, Pakistan', 0.0, 31.5628728, 73.1880618]",chak no. 155,chak jumra,faisalabad
null,chakwal, chakwal,,"['Chakwal, Punjab, Pakistan', 0.0, 32.9327882, 72.8629576]",dab,chakwal,chakwal
null,choubara, leiah,,"['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]",kotla haji shah,layyah,layyah
null,chichawatni, sahiwal,,"['Chichawatni, Sahiwal District, Punjab, Pakistan', 0.0, 30.5372798, 72.69832149999999]",8/11.l,chichawatni,sahiwal
null,chiniot, chiniot,,"['Chiniot, Jhang, Punjab, Pakistan', 0.0, 31.7291662, 72.9821954]",salara,chiniot,chiniot
null,chiniot, jhang,,"['Chiniot, Jhang, Punjab, Pakistan', 0.0, 31.7291662, 72.9821954]",salara,chiniot,chiniot
null,chishtian, bahawalnagar,,"['Chishtian, Bahawalnagar, Punjab, Pakistan', 0.0, 29.79559739999999, 72.86336349999999]",chishtian ci,chishtian,bahawalnagar
null,choa saidan shah, chakwal,,"['Choa Saidan Shah, Chakwal, Punjab, Pakistan', 0.0, 32.7219513, 72.97853529999999]",choa saidan,choa saidan shah,chakwal
null,chunian, kasur,,"['Chunian, Kasur, Punjab, Pakistan', 0.0, 30.9698035, 73.9712488]",daeo sial,chunian,kasur
null,d.g khan (tribal area), dera ghazi khan,,"['Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.0489423, 70.645473]",paigan,dera ghazi khan,dera ghazi khan
null,darya khan, bhakkar,,"['Darya Khan, Bhakkar, Punjab, Pakistan', 0.0, 31.7876049, 71.10920120000002]",darya khan no.ii,darya khan,bhakkar
null,daska, sialkot,,"['Daska, Sialkot, Punjab, Pakistan', 0.0, 32.3362936, 74.36751679999999]",akbar,daska,sialkot
null,data gb town, lahore,,"['Lahore, Punjab, Pakistan', 0.0, 31.5203696, 74.35874729999999]",gulberg,lahore,lahore
null,depalpur, okara,,"['Depalpur, Okara, Punjab, Pakistan', 0.0, 30.6769981, 73.6477342]",qila javed s,depalpur,okara
null,kasur, kasur,,"['Kasur, Punjab, Pakistan', 0.0, 31.1178653, 74.4408385]",maan,kasur,kasur
null,kahror pacca, lodhran,,"['Kahror Pakka, Lodhran, Punjab, Pakistan', 0.0, 29.6437628, 71.9164217]",faridabad,kehror pacca,lodhran
null,dera ghazi khan, dera ghazi khan,,"['Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.0489423, 70.645473]",paigan,dera ghazi khan,dera ghazi khan
null,dina, jhelum,,"['Dina, Jhelum, Punjab, Pakistan', 0.0, 33.027927, 73.6011716]",madu kalas,jhelum,jhelum
null,dunyapur, lodhran,,"['Dunyapur, Lodhran, Punjab, Pakistan', 0.0, 29.8045422, 71.7405672]",sultan ayub,dunyapur,lodhran
null,faisalabad, faisalabad,,"['Faisalabad, Punjab, Pakistan', 0.0, 31.45036619999999, 73.13496049999999]",chak no. 202,faisalabad saddar,faisalabad
null,faisalabad city, faisalabad,,"['Faisalabad, Punjab, Pakistan', 0.0, 31.45036619999999, 73.13496049999999]",chak no. 202,faisalabad saddar,faisalabad
null,faisalabad sadar, faisalabad,,"['Faisalabad Saddar, Faisalabad, Punjab, Pakistan', 0.0, 31.4249914, 73.111356]",faisalabad c,faisalabad city,faisalabad
null,fateh jang, attock,,"['Fateh Jang, Attock, Punjab, Pakistan', 0.0, 33.5672929, 72.6505957]",galli jagir,fatehjang,attock
null,ferozewala, sheikhupura,,"['Ferozewala, Sheikhupura, Punjab, Pakistan', 0.0, 31.6478908, 74.2840547]",faisal park,lahore,lahore
null,fortabbas, bahawalnagar,,"['Fort Abbas, Bahawalnagar, Punjab, Pakistan', 0.0, 29.193053, 72.8574558]",chak no. 264,fortabbas,bahawalnagar
null,gojra, toba tek singh,,"['Gojra, Toba Tek Singh District, Punjab, Pakistan', 0.0, 31.1504688, 72.6811507]",158 gb,gojra,toba tek singh
null,gujar khan, rawalpindi,,"['Gujar Khan, Rawalpindi, Punjab, Pakistan', 0.0, 33.2615676, 73.3057508]",None,gujar khan tehsil,rawalpindi
null,lalian, chiniot,,"['Lalian, Punjab, Pakistan', 0.0, 31.8194071, 72.79837049999999]",kanven wala,chiniot,chiniot
null,gujrat, gujrat,,"['Gujrat, Punjab, Pakistan', 0.0, 32.57307249999999, 74.10050439999999]",shadiwal,gujrat,gujrat
null,gulberg town, lahore,,"['Gulberg III, Lahore, Punjab, Pakistan', 0.0, 31.5101892, 74.3440842]",gulberg,lahore,lahore
null,hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad
null,haroonabad, bahawalnagar,,"['Haroonabad, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6081146, 73.1467619]",chak no. 15/,haroonabad,bahawalnagar
null,mailsi, vehari,,"['Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.7921021, 72.1771541]",burana khas,mailsi,vehari
null,hasilpur, bahawalpur,,"['Hasilpur, Bahawalpur, Punjab, Pakistan', 0.0, 29.6902417, 72.5796331]",chak no 058/ford,hasilpur,bahawalpur
null,hasan abdal, attock,,"['Hassan Abdal, Attock, Punjab, Pakistan', 0.0, 33.8210214, 72.6800204]",jailo,hassanabdal,attock
null,isakhel, mianwali,,"['Isa Khel, Mianwali, Punjab, Pakistan', 0.0, 32.6749055, 71.2785119]",khaglanwala,isakhel,mianwali
null,jalalpur pirwala, multan,,"['Jalalpur Pirwala, Multan, Punjab, Pakistan', 0.0, 29.5164597, 71.2220832]",darab pur,jalalpur pirwala,multan
null,jampur, rajanpur,,"['Jampur, Rajanpur, Punjab, Pakistan', 0.0, 29.6459464, 70.59193570000001]",kotla dewan,jampur,rajanpur
null,jand, attock,,"['Jand, Attock, Punjab, Pakistan', 0.0, 33.4364645, 72.0171862]",longar,jand,attock
null,jaranwala, faisalabad,,"['Jaranwala, Faisalabad, Punjab, Pakistan', 0.0, 31.3453951, 73.4298073]",chak no. 147,jaranwala,faisalabad
null,jatoi, muzaffargarh,,"['Jatoi, Muzaffargarh, Punjab, Pakistan', 0.0, 29.5068582, 70.85361639999999]",sabaiwala,jatoi,muzaffargarh
null,jahanian, khanewal,,"['Jahanian, Khanewal, Punjab, Pakistan', 0.0, 30.0487223, 71.81562439999999]",rahim shah,jehanian,khanewal
null,multan city, multan,,"['Multan, Punjab, Pakistan', 0.0, 30.157458, 71.5249154]",dera budhu malik,multan city,multan
null,jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang
null,multan saddar, multan,,"['Multan Saddar, Multan, Punjab, Pakistan', 0.0, 30.1712026, 71.6198686]",kothiwala,multan saddar,multan
null,jhelum, jhelum,,"['Jhelum, Punjab, Pakistan', 0.0, 32.9424591, 73.7257496]",mughlabad,jhelum,jhelum
null,kabirwala, khanewal,,"['Kabirwala, Khanewal, Punjab, Pakistan', 0.0, 30.4010623, 71.8630625]",kabirwala -,kabirwala,khanewal
null,murree, rawalpindi,,"['Murree, Rawalpindi, Punjab, Pakistan', 0.0, 33.9069576, 73.3943017]",None,murree tehsil,rawalpindi
