UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
labanowala, ferozewala, sheikhupura,,"['Laban Wala, Sheikhupura, Punjab, Pakistan', 0.0, 31.7303536, 74.43131199999999]",ferozewala -,ferozewala,sheikhupura
labour colony, ferozewala, sheikhupura,,"['Sher-e-Bangal Labour Colony Sher e Bangal Labor Colony, Ferozewala, Sheikhupura, Punjab, Pakistan', 0.0, 31.69023259999999, 74.2773521]",kot abdul ma,ferozewala,sheikhupura
ladhewala cheema, wazirabad, gujranwala,,"['Ladhewala Cheema Rd, Gujranwala, Punjab, Pakistan', 0.0, 32.2789171, 74.0105286]",kalas ke,wazirabad,gujranwala
ladhewala goraya, gujranwala, gujranwala,,"['Ladhe Wala Waraich, Gujranwala, Punjab, Pakistan', 0.0, 32.1581941, 74.11518699999999]",kot sher kad,gujranwala saddar,gujranwala
ladhewala goraya, nandi pur town, gujranwala,,"['Goraya, Punjab 144409, India', 0.0, 31.1240175, 75.777846]",Not Found,Not Found,Not Found
ladhike, muridke, sheikhupura,,"['Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.8094838, 74.25341499999999]",bhlanwala ka,ferozewala,sheikhupura
ladhy wala warich 1, gujranwala, gujranwala,,"['Ladhe Wala Waraich, Gujranwala, Punjab, Pakistan', 0.0, 32.1581941, 74.11518699999999]",kot sher kad,gujranwala saddar,gujranwala
ladhy wala warich 1, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala
ladhy wala warich 2, gujranwala, gujranwala,,"['Ladhe Wala Waraich, Gujranwala, Punjab, Pakistan', 0.0, 32.1581941, 74.11518699999999]",kot sher kad,gujranwala saddar,gujranwala
ladhy wala warich 2, qila dedar singh town, gujranwala,,"['Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1342879, 74.0153231]",qila didar s,gujranwala saddar,gujranwala
ladiwala, sargodha, sargodha,,"['Sargodha, Punjab, Pakistan', 0.0, 32.0739787, 72.6860696]",40 nb,sargodha,sargodha
lahore cannt, lahore cantt, lahore,,"['Lahore Cantt., Lahore, Punjab, Pakistan', 0.0, 31.4787269, 74.41602929999999]",cantonment,lahore,lahore
lahore cant uc 1, lahore cantt, lahore,,"['Lahore Cantt., Lahore, Punjab, Pakistan', 0.0, 31.4787269, 74.41602929999999]",cantonment,lahore,lahore
lahore cant uc 3, lahore cantt, lahore,,"['Lahore Cantt., Lahore, Punjab, Pakistan', 0.0, 31.4787269, 74.41602929999999]",cantonment,lahore,lahore
lahore cant uc 4, lahore cantt, lahore,,"['Lahore Cantt. Railway Station, Iqbal Colony, Lahore, Punjab 54810, Pakistan', 0.0, 31.5304606, 74.3612539]",cantonment,lahore,lahore
lahore cant uc 5, lahore cantt, lahore,,"['Lahore Cantt., Lahore, Punjab, Pakistan', 0.0, 31.4787269, 74.41602929999999]",cantonment,lahore,lahore
lahore cant uc 6, lahore cantt, lahore,,"['Lahore Cantt., Lahore, Punjab, Pakistan', 0.0, 31.4787269, 74.41602929999999]",cantonment,lahore,lahore
lahore cantt, lahore cantt, lahore,,"['Lahore Cantt., Lahore, Punjab, Pakistan', 0.0, 31.4787269, 74.41602929999999]",cantonment,lahore,lahore
lakhan, rawalpindi, rawalpindi,,"['Quaid e Azam Colony, Rawalpindi, Punjab, Pakistan', 0.0, 33.5643019, 73.01488119999999]",dhamial,rawalpindi tehsil,rawalpindi
lakhan wal kalan, gujrat, gujrat,,"['Lakhanwal Khas, Gujrat, Punjab, Pakistan', 0.0, 32.6690152, 74.2575477]",jethike,daska,sialkot
lakho dair, lahore cantt, lahore,,"['Lahore, Punjab, Pakistan', 0.0, 31.626633, 74.4188535]",lakhodher,lahore,lahore
lakho dair, wahga town, lahore,,"['Lahore, Punjab, Pakistan', 0.0, 31.626633, 74.4188535]",lakhodher,lahore,lahore
lakhokay kalan, burewala, vehari,,"['Burewala, Vehari, Punjab, Pakistan', 0.0, 30.15928389999999, 72.694262]",257/eb,burewala,vehari
lal garh, rahim yar khan, rahim yar khan,,"['Lalgarh Rd, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.597294, 70.4769833]",sonak,rahim yar khan,rahim yar khan
lallian, lalian, chiniot,,"['Lalian, Punjab, Pakistan', 0.0, 31.8194071, 72.79837049999999]",kanven wala,chiniot,chiniot
lalliani, kot momin, sargodha,,"['Kot Momin, Sargodha, Punjab, Pakistan', 0.0, 32.1845196, 73.02576909999999]",kot moman -,bhalwal,sargodha
