,UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape,UC Match with Returned Address in Google API,Tehsil Match,District Match,fuzzyUC,fuzzyTehsil,fuzzyDistrict,Manaual Tehsil,Manaual District,crossMatchTehsil,crossMatchDistrict
1334,hafiz abad city 5, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad,False,True,True,89,100,100,hafizabad,hafizabad,True,True
1335,hafiz abad city 6, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad,False,True,True,89,100,100,hafizabad,hafizabad,True,True
1336,hafiz abad city 7, hafizabad, hafizabad,,"['Hafizabad, Punjab, Pakistan', 0.0, 32.0711858, 73.68947179999999]",hafizabad -,hafizabad,hafizabad,False,True,True,89,100,100,hafizabad,hafizabad,True,True
1337,hafiz wala, piplan, mianwali,,"['Hafiz Wala, Mianwali, Punjab, Pakistan', 0.0, 32.2865151, 71.44329429999999]",doaba,piplan,mianwali,True,True,True,80,100,100,piplan,mianwali,True,True
1338,hafizabad city 4, hafizabad, hafizabad,,"['Hafizabad Train Station, Street Number 4, Hafizabad, Punjab, Pakistan', 0.0, 32.0747929, 73.6917427]",hafizabad -,hafizabad,hafizabad,False,True,True,69,100,100,hafizabad,hafizabad,True,True
1339,haidri, jhang, jhang,,"['Satellite Town Block A Satellite Town, Jhang, Punjab 35200, Pakistan', 0.0, 31.2621759, 72.350167]",civil station,jhang,jhang,False,True,True,33,100,100,jhang,jhang,True,True
1340,haji ghazi, dera ghazi khan, dera ghazi khan,,"['Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.033068, 70.7653421]",smena,dera ghazi khan,dera ghazi khan,False,True,True,63,100,100,dera ghazi khan,dera ghazi khan,True,True
1341,haji pura 15, sialkot, sialkot,,"['Haji Pura Rd, Sialkot, Punjab, Pakistan', 0.0, 32.4811835, 74.52705069999999]",hundal,sialkot,sialkot,False,True,True,67,100,100,sialkot,sialkot,True,True
1342,hakam wala, sharak pur, sheikhupura,,"['Sharaqpur, Sheikhupura, Punjab, Pakistan', 0.0, 31.4632106, 74.103441]",sehjowal,ferozewala,sheikhupura,False,False,True,33,20,100,ferozewala,sheikhupura,True,True
1343,hali, chiniot, chiniot,,"['Chiniot, Jhang, Punjab, Pakistan', 0.0, 31.7291662, 72.9821954]",salara,chiniot,chiniot,False,True,True,50,100,100,chiniot,chiniot,True,True
1344,hanjarwal uc, allam iqbal town, lahore,,"['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]",sikandar block,lahore,lahore,False,False,True,42,33,100,lahore,lahore,True,True
1345,hanjarwal uc, allama iqbal town, lahore,,"['Karim Block Allama Iqbal Town, Lahore, Punjab, Pakistan', 0.0, 31.5041144, 74.2766899]",sikandar block,lahore,lahore,False,False,True,42,33,100,lahore,lahore,True,True
1346,haq pur daska 2, daska, sialkot,,"['Daska, Sialkot, Punjab, Pakistan', 0.0, 32.3362936, 74.36751679999999]",akbar,daska,sialkot,False,True,True,80,100,100,daska,sialkot,True,True
1347,haranwali urban, piplan, mianwali,,"['Piplan, Mianwali, Punjab, Pakistan', 0.0, 32.2814011, 71.3646236]",tibba meharban shah,piplan,mianwali,False,True,True,33,100,100,piplan,mianwali,True,True
1348,harbans pura, aziz bhatti town, lahore,,"['Harbanspura, Lahore, Punjab, Pakistan', 0.0, 31.576079, 74.42618209999999]",harbanspura,lahore,lahore,False,False,True,91,17,100,sargodha,lahore,False,True
1349,harbans pura, lahore city, lahore,,"['Harbanspura, Lahore, Punjab, Pakistan', 0.0, 31.576079, 74.42618209999999]",harbanspura,lahore,lahore,False,False,True,91,100,100,lahor,lahore,False,True
1350,hardo saharan, wazirabad, gujranwala,,"['Saharan St, Khokhar Ke, Gujranwala, Punjab, Pakistan', 0.0, 32.1769587, 74.2042455]",gujranwala c,gujranwala city,gujranwala,False,False,True,71,30,100,wazirabad,gujranwala,False,True
1351,hardo warpal, wazirabad, gujranwala,,"['Warpal Distributary, Gujranwala, Punjab, Pakistan', 0.0, 32.1536111, 73.8155556]",chalan wali,wazirabad,gujranwala,False,True,True,42,100,100,wazirabad,gujranwala,True,True
1352,harnoli urban, piplan, mianwali,,"['Harnoli, Mianwali, Punjab, Pakistan', 0.0, 32.2773356, 71.5545911]",harnoli rural,piplan,mianwali,False,True,True,86,100,100,piplan,mianwali,True,True
1353,harsa sheikh, chiniot, chiniot,,"['Chiniot, Jhang, Punjab, Pakistan', 0.0, 31.7291662, 72.9821954]",salara,chiniot,chiniot,False,True,True,29,100,100,chiniot,chiniot,True,True
1354,hashmat marali, kabirwala, khanewal,,"['Hashmat Marali Distributary, Khanewal, Punjab, Pakistan', 0.0, 30.5136111, 71.79249999999999]",chan naurang,kabirwala,khanewal,True,True,True,86,100,100,kabirwala,khanewal,True,True
1355,hashmi colony, gujranwala, gujranwala,,"['Main Sheikhupura Rd, Asad Colony, Gujranwala, Punjab 52250, Pakistan', 0.0, 32.1273089, 74.1792009]",gujranwala c,gujranwala city,gujranwala,False,False,True,23,91,100,gujranwala city,gujranwala,True,True
1356,hassan abad, multan city, multan,,"['Hassanabad Colony Multan, Punjab, Pakistan', 0.0, 30.2171032, 71.5234316]",piran ghaib,multan city,multan,False,True,True,82,100,100,multan city,multan,True,True
1357,hassan abad, mailsi, vehari,,"['Hassan Abad Rd, Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.8069651, 72.1863417]",muhammad sha,mailsi,vehari,True,True,True,82,100,100,mailsi,vehari,True,True
